排名,电影名称,导演,演员,上映年份,制作国家,类型,评分,评价人数,短评
1,肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,,1994,美国,犯罪 剧情,9.7,2640163,希望让人自由。
2,霸王别姬,陈凯歌 Kaige Chen,,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,1960829,风华绝代。
3,阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,,1994,美国,剧情 爱情,9.5,1984447,一部美国近现代史。
4,泰坦尼克号,詹姆斯·卡梅隆 James Cameron,,1997,美国 墨西哥 澳大利亚 加拿大,剧情 爱情 灾难,9.4,1944725,失去的才是永恒的。 
5,这个杀手不太冷,吕克·贝松 Luc Besson,,1994,法国 美国,剧情 动作 犯罪,9.4,2134118,怪蜀黍和小萝莉不得不说的故事。
6,美丽人生,罗伯托·贝尼尼 Roberto Benigni,,1997,意大利,剧情 喜剧 爱情 战争,9.6,1219576,最美的谎言。
7,千与千寻,宫崎骏 Hayao Miyazaki,,2001,日本,剧情 动画 奇幻,9.4,2060769,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,,1993,美国,剧情 历史 战争,9.6,1017411,拯救一个人，就是拯救整个世界。
9,盗梦空间,克里斯托弗·诺兰 Christopher Nolan,,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,1900998,诺兰给了我们一场无法盗取的梦。
10,星际穿越,克里斯托弗·诺兰 Christopher Nolan,,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,1595166,爱是一种力量，让我们超越时空感知它的存在。
11,忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,,2009,美国 英国,剧情,9.4,1299776,永远都不能忘记你所爱的人。
12,楚门的世界,彼得·威尔 Peter Weir,,1998,美国,剧情 科幻,9.3,1517447,如果再也不能见到你，祝你早安，午安，晚安。
13,海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,,1998,意大利,剧情 音乐,9.3,1546971,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1724160,英俊版憨豆，高情商版谢耳朵。
15,机器人总动员,安德鲁·斯坦顿 Andrew Stanton,,2008,美国,科幻 动画 冒险,9.3,1217765,小瓦力，大人生。
16,放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,,2004,法国 瑞士 德国,剧情 喜剧 音乐,9.3,1202932,天籁一般的童声，是最接近上帝的存在。 
17,无间道,刘伟强 / 麦兆辉,,2002,中国香港,剧情 犯罪 惊悚,9.3,1224126,香港电影史上永不过时的杰作。
18,疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,,2016,美国,喜剧 动画 冒险,9.2,1740436,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
19,大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1412108,一生所爱。
20,熔炉,黄东赫 Dong-hyuk Hwang,,2011,韩国,剧情,9.3,860084,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,控方证人,比利·怀尔德 Billy Wilder,,1957,美国,剧情 犯罪 悬疑,9.6,469322,比利·怀德满分作品。
22,教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,,1972,美国,剧情 犯罪,9.3,877382,千万不要记恨你的对手，这样会让你失去理智。
23,当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,,2006,美国,剧情 传记 家庭,9.2,1401802,平民励志片。 
24,触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,,2011,法国,剧情 喜剧,9.3,984999,满满温情的高雅喜剧。
25,怦然心动,罗伯·莱纳 Rob Reiner,,2010,美国,剧情 喜剧 爱情,9.1,1681977,真正的幸福是来自内心深处。
26,龙猫,宫崎骏 Hayao Miyazaki,,1988,日本,动画 奇幻 冒险,9.2,1164673,人人心中都有个龙猫，童年就永远不会消失。
27,末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,786260,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
28,寻梦环游记,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,,2017,美国,喜剧 动画 奇幻 音乐,9.1,1501641,死亡不是真的逝去，遗忘才是永恒的消亡。
29,蝙蝠侠：黑暗骑士,克里斯托弗·诺兰 Christopher Nolan,,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,971298,无尽的黑暗。
30,活着,张艺谋 Yimou Zhang,,1994,中国大陆 中国香港,剧情 历史 家庭,9.3,757812,张艺谋最好的电影。
31,哈利·波特与魔法石,Chris Columbus,,2001,美国 英国,奇幻 冒险,9.1,1056538,童话世界的开端。
32,指环王3：王者无敌,彼得·杰克逊 Peter Jackson,,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.3,734756,史诗的终章。
33,乱世佳人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,,1939,美国,剧情 历史 爱情 战争,9.3,634231,Tomorrow is another day.
34,素媛,李濬益 Jun-ik Lee,,2013,韩国,剧情,9.3,623612,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
35,飞屋环游记,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,,2009,美国,剧情 喜剧 动画 冒险,9.1,1218885,最后那些最无聊的事情，才是最值得怀念的。 
36,摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,,2016,印度,剧情 传记 运动 家庭,9.0,1448215,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
37,我不是药神,文牧野 Muye Wen,,2018,中国大陆,剧情 喜剧,9.0,1930188,对我们国家而言，这样的电影多一部是一部。
38,何以为家,娜丁·拉巴基 Nadine Labaki,,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,951207,凝视卑弱生命，用电影改变命运。
39,十二怒汉,Sidney Lumet,,1957,美国,剧情,9.4,438309,1957年的理想主义。 
40,哈尔的移动城堡,宫崎骏 Hayao Miyazaki,,2004,日本,动画 奇幻 冒险,9.1,924479,带着心爱的人在天空飞翔。
41,少年派的奇幻漂流,李安 Ang Lee,,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1253174,瑰丽壮观、无人能及的冒险之旅。
42,鬼子来了,姜文 Wen Jiang,,2000,中国大陆,剧情 喜剧,9.3,569206,对敌人的仁慈，就是对自己残忍。
43,猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,,2002,美国 加拿大,传记 犯罪 剧情,9.1,897396,骗子大师和执著警探的你追我跑故事。 
44,大话西游之月光宝盒,刘镇伟 Jeffrey Lau,,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,1125834,旷古烁今。
45,天空之城,宫崎骏 Hayao Miyazaki,,1986,日本,动画 奇幻 冒险,9.1,756242,对天空的追逐，永不停止。 
46,钢琴家,罗曼·波兰斯基 Roman Polanski,,2002,英国 法国 波兰 德国,剧情 传记 战争 音乐,9.3,555751,音乐能化解仇恨。
47,闻香识女人,马丁·布莱斯 Martin Brest,,1992,美国,剧情,9.1,800981,史上最美的探戈。
48,指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,686142,承前启后的史诗篇章。
49,天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,,1988,意大利 法国,剧情 爱情,9.2,633818,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
50,让子弹飞,姜文 Wen Jiang,,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,8.9,1534718,你给我翻译翻译，神马叫做TMD的惊喜。
51,罗马假日,威廉·惠勒 William Wyler,,1953,美国,喜剧 剧情 爱情,9.1,882948,爱情哪怕只有一天。
52,海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,,2015,德国 瑞士,剧情 冒险 家庭,9.3,501806,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
53,黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,,1999,美国,动作 科幻,9.1,771905,视觉革命。
54,指环王1：护戒使者,彼得·杰克逊 Peter Jackson,,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.1,775129,传说的开始。
55,大闹天宫,万籁鸣 Laiming Wan,,1961(中国大陆) , 1964(中国大陆) , 1978(中国大陆),9.4,389927,经典之作，历久弥新。
56,死亡诗社,彼得·威尔 Peter Weir,,1989,美国,剧情,9.1,647475,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
57,教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,,1974,美国,剧情 犯罪,9.2,497429,优雅的孤独。
58,辩护人,杨宇硕 Woo-seok Yang,,2013,韩国,剧情,9.2,546458,电影的现实意义大过电影本身。
59,绿皮书,彼得·法雷里 Peter Farrelly,,2018,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,1478930,去除成见，需要勇气。
60,狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,,1994,美国,动画 冒险 歌舞,9.1,764399,动物版《哈姆雷特》。
61,搏击俱乐部,大卫·芬奇 David Fincher,,1999,美国 德国 意大利,剧情 动作 悬疑 惊悚,9.0,780188,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
62,饮食男女,李安 Ang Lee,,1994,中国台湾 美国,剧情 家庭,9.2,559452,人生不能像做菜，把所有的料都准备好了才下锅。
63,美丽心灵,朗·霍华德 Ron Howard,,2001,美国,传记 剧情,9.1,706156,爱是一切逻辑和原由。
64,本杰明·巴顿奇事,大卫·芬奇 David Fincher,,2008,美国,剧情 爱情 奇幻,9.0,906416,在时间之河里感受溺水之苦。
65,窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,2006,德国,剧情 悬疑,9.2,517607,别样人生。
66,穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,,2008,英国 美国,剧情 战争,9.2,502091,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
67,情书,岩井俊二 Shunji Iwai,,1995,日本,剧情 爱情,8.9,990550,暗恋的极致。
68,两杆大烟枪,Guy Ritchie,,1998,英国,剧情 喜剧 犯罪,9.1,551279,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
69,西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,,2000,意大利 美国,剧情 战争 情色,8.9,896912,美丽无罪。
70,看不见的客人,奥里奥尔·保罗 Oriol Paulo,,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,1144699,你以为你以为的就是你以为的。
71,拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,,1998,美国,剧情 战争,9.1,594593,美利坚精神输出大片No1.
72,音乐之声,罗伯特·怀斯 Robert Wise,,1965,美国,剧情 传记 爱情 歌舞,9.1,550369,用音乐化解仇恨，让歌声串起美好。
73,飞越疯人院,米洛斯·福尔曼 Miloš Forman,,1975,美国,剧情,9.1,511677,自由万岁。
74,小鞋子,马基德·马基迪 Majid Majidi,,1997,伊朗,剧情 儿童 家庭,9.2,374486,奔跑的孩子是天使。
75,阿凡达,詹姆斯·卡梅隆 James Cameron,,2009,美国,动作 科幻 冒险,8.8,1274433,绝对意义上的美轮美奂。
76,哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,,2011,美国 英国,奇幻 冒险,8.9,746498,10年的完美句点。
77,沉默的羔羊,乔纳森·戴米 Jonathan Demme,,1991,美国,剧情 犯罪 惊悚,8.9,804396,安东尼·霍普金斯的顶级表演。
78,海豚湾,路易·西霍尤斯 Louie Psihoyos,,2009,美国,纪录片,9.3,337683,海豚的微笑，是世界上最高明的伪装。
79,致命魔术,克里斯托弗·诺兰 Christopher Nolan,,2006,英国 美国,剧情 悬疑 惊悚,8.9,787776,孪生蝙蝠侠大战克隆金刚狼。
80,禁闭岛,Martin Scorsese,,2010,美国,剧情 悬疑 惊悚,8.8,885186,昔日翩翩少年，今日大腹便便。
81,布达佩斯大饭店,韦斯·安德森 Wes Anderson,,2014,美国 德国 英国,剧情 喜剧 冒险,8.9,839479,小清新的故事里注入了大历史的情怀。
82,蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.8,859043,人的命运被自己瞬间的抉择改变。
83,美国往事,赛尔乔·莱翁内 Sergio Leone,,1984,美国 意大利,犯罪 剧情,9.2,379526,往事如烟，无处祭奠。
84,心灵捕手,格斯·范·桑特 Gus Van Sant,,1997,美国,剧情,8.9,649136,人生中应该拥有这样的一段豁然开朗。
85,低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,,1994,美国,剧情 喜剧 犯罪,8.9,763346,故事的高级讲法。
86,春光乍泄,王家卫 Kar Wai Wong,,1997,中国香港 日本 韩国,剧情 爱情 同性,9.0,577023,爱情纠缠，男女一致。
87,摩登时代,查理·卓别林 Charles Chaplin,,1936,美国,剧情 喜剧 爱情,9.3,271988,大时代中的人生，小人物的悲喜。
88,七宗罪,大卫·芬奇 David Fincher,,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,877164,警察抓小偷，老鼠玩死猫。
89,喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,,1999,中国香港,喜剧 剧情 爱情,8.8,884297,我是一个演员。
90,致命ID,詹姆斯·曼高德 James Mangold,,2003,美国,剧情 悬疑 惊悚,8.8,745685,最不可能的那个人永远是最可能的。
91,杀人回忆,奉俊昊 Joon-ho Bong,,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,638698,关于连环杀人悬案的集体回忆。
92,功夫,周星驰 Stephen Chow,,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.7,990556,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
93,超脱,托尼·凯耶 Tony Kaye,,2011,美国,剧情,9.0,508268,穷尽一生，我们要学会的，不过是彼此拥抱。
94,哈利·波特与阿兹卡班的囚徒,Alfonso Cuarón,,2004,英国 美国,奇幻 冒险,8.9,635339,不一样的导演，不一样的哈利·波特。
95,加勒比海盗,戈尔·维宾斯基 Gore Verbinski,,2003,美国,动作 冒险 奇幻,8.8,791122,约翰尼·德普的独角戏。
96,红辣椒,今敏 Satoshi Kon,,2006,日本,动画 悬疑 科幻 惊悚,9.1,408235,梦的勾结。
97,被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,,2006,日本,剧情 歌舞,8.9,656983,以戏谑来戏谑戏谑。
98,狩猎,托马斯·温特伯格 Thomas Vinterberg,,2012,丹麦 瑞典,剧情,9.1,351339,人言可畏。
99,请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,,2017,意大利 法国 巴西 美国,剧情 爱情 同性,8.9,652040,沉醉在电影的情感和视听氛围中无法自拔。
100,7号房的礼物,李焕庆 Hwan-kyeong Lee,,2013,韩国,剧情 喜剧 家庭,8.9,506211,《我是山姆》的《美丽人生》。
101,剪刀手爱德华,蒂姆·波顿 Tim Burton,,1990,美国,剧情 奇幻 爱情,8.7,973421,浪漫忧郁的成人童话。
102,勇敢的心,梅尔·吉布森 Mel Gibson,,1995,美国,动作 传记 剧情 历史 战争,8.9,528458,史诗大片的典范。
103,断背山,李安 Ang Lee,,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,658921,每个人心中都有一座断背山。
104,唐伯虎点秋香,李力持 Lik-Chi Lee,,1993,中国香港,喜剧 爱情 古装,8.7,978870,华太师是黄霑，吴镇宇四大才子之一。
105,入殓师,泷田洋二郎 Yôjirô Takita,,2008,日本,剧情,8.9,609231,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
106,第六感,M·奈特·沙马兰 M. Night Shyamalan,,1999,美国,剧情 悬疑 惊悚,8.9,509119,深入内心的恐怖，出人意料的结局。
107,哈利·波特与密室,Chris Columbus,,2002,英国 美国,奇幻 冒险,8.8,661457,魔法的密室之门已打开...
108,天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,,2001,法国 德国,剧情 喜剧 爱情,8.7,909849,法式小清新。 
109,一一,杨德昌 Edward Yang,,2000,中国台湾 日本,剧情 爱情 家庭,9.1,339178,我们都曾经是一一。
110,爱在黎明破晓前,理查德·林克莱特 Richard Linklater,,1995,美国 奥地利 瑞士,剧情 爱情,8.8,606142,缘分是个连绵词，最美不过一瞬。
111,重庆森林,王家卫 Kar Wai Wong,,1994,中国香港,剧情 爱情,8.8,735949,寂寞没有期限。
112,幽灵公主,宫崎骏 Hayao Miyazaki,,1997,日本,动画 奇幻 冒险,8.9,483093,人与自然的战争史诗。
113,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.8,661990,诺兰就是保证。
114,小森林 夏秋篇,森淳一 Junichi Mori,,2014,日本,剧情,9.0,391303,那些静得只能听见呼吸的日子里，你明白孤独即生活。
115,阳光灿烂的日子,姜文 Wen Jiang,,1994,中国大陆 中国香港,剧情 爱情,8.8,565668,一场华丽的意淫。
116,菊次郎的夏天,北野武 Takeshi Kitano,,1999,日本,剧情 喜剧,8.9,541291,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
117,超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,,2014,美国,喜剧 动作 科幻 动画 冒险,8.7,926323,Balalala~~~
118,完美的世界,克林特·伊斯特伍德 Clint Eastwood,,1993,美国,剧情 犯罪,9.1,281628,坏人的好总是比好人的好来得更感人。
119,无人知晓,是枝裕和 Hirokazu Koreeda,,2004,日本,剧情,9.1,287002,我的平常生活就是他人的幸福。
120,爱在日落黄昏时,理查德·林克莱特 Richard Linklater,,2004,美国 法国,剧情 爱情,8.9,499728,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
121,消失的爱人,大卫·芬奇 David Fincher,,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,848540,年度最佳date movie。
122,小森林 冬春篇,森淳一 Junichi Mori,,2015,日本,剧情,9.0,349752,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
123,借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,,2010,日本,动画 奇幻 冒险,8.9,503065,曾经的那段美好会沉淀为一辈子的记忆。
124,甜蜜蜜,陈可辛 Peter Chan,,1996,中国香港,剧情 爱情,8.9,480387,相逢只要一瞬间，等待却像是一辈子。
125,倩女幽魂,程小东 Siu-Tung Ching,,1987,中国香港,爱情 奇幻 武侠 古装,8.8,673427,两张绝世的脸。 
